,Directed by,Written by,Screenplay by,Story by,Produced by,Starring,Cinematography,Edited by,Music by,Productioncompany,Distributed by,Release dates,Running time,Country,Languages,Budget,Box office,Title,Based on,Language,Release date,Color process,Productioncompanies,Countries,Narrated by,Adaptation by,Suggested by,Narration by,Traditional Chinese,Simplified Chinese,Hanyu Pinyin,Hangul,Hanja,Revised Romanization,McCune–Reischauer,Kana,Revised Hepburn,French,Dialogue by,Literally,Country of origin,Original language,Producer,Release,Brazilian Portuguese,Polish,Danish,Native name,Born,Died,Occupation,Nationality,Period,Created by,Alias,Affiliation,Spouse,Religion,Origin,Italian,First appearance,Last appearance,Portrayed by,Gender,Family,Children,Resting place,Education,Years active,Known for,Board member of,Partner,Relatives,Awards,Spanish,Full name,Tenure,Cause of death,Burial,Issue,House,Father,Mother,Signature,Venerated in,Beatified,Canonized,Feast,Patronage,Voiced by,Reign,Coronation,Predecessor,Successor,Regents,Alma mater,Notable work,Spouses,Portuguese,Occupation(s),Literal meaning,Jyutping,German,Animation by,Kanji,Theme song by,Trade name,Company type,Industry,Predecessors,Founded,Founders,Headquarters,Number of locations,Area served,Key people,Products,Number of employees,Parent,Divisions,Subsidiaries,Website,Founder,Defunct,Layouts by,Original title,Genre(s),Published in,Publication date,Backgrounds by,Author,Cover artist,Genre,Publisher,Media type,OCLC,Preceded by,Followed by,Illustrator,Published,Pages,Related,Original work,Book(s),Film(s),Short film(s),Animated series,Direct-to-video,Video game(s),Toy(s),Voices of,Theme music composer,Composer,Producers,Network,Author(s),Current status/schedule,Launch date,Syndicate(s),Preceded by,Editor,Production company,ISBN,No. of series,No. of episodes,Director,Distributor,Released,Runtime,Set in,Dewey Decimal,LC Class,Text,Executive producers,Original languages,Production companies,Directed by,Produced by,Written by,Music by,Studio,Licensed by,Developer,Designed by,Engine,Platform,Hebrew,Presented by,No. of seasons,Occupations,Length,Label,Music,Lyrics,Book,Productions,Recorded,Screen story by,Additional dialogue by,Dialogues by,Visual effects by,Original screenplay by,Katakana,Norwegian,Episode no.,Featured music,Editing by,Original air date,po,Russian,Executive producer,Production locations,Editors,Also known as,Opening theme,Production location,Romanian,Ukrainian,Arabic,Swedish
20,Frank Borzage,"Edwin J. Burke,  , (continuity & dialogue), , Rudolf Sieber , (uncredited)",,,,"Sally Eilers, , James Dunn, , Minna Gombell",Chester A. Lyons,Margaret Clancey,,Fox Film Corporation,Fox Film Corporation,,90 minutes,United States,,"Under $100,000",$1.1 million,https://en.wikipedia.org/wiki/Bad_Girl_(1931_film),"Bad Girl,  (1928 novel) by , Viña Delmar, , Bad Girl,  (1930 play) by Viña Delmar and Brian Marlowe",English,"September 19, 1931 (US)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,King Vidor,"Frances Marion, , Leonard Praskins",,,"King Vidor, , Harry Rapf,  (uncredited), , Irving Thalberg,  (uncredited)","Wallace Beery, , Jackie Cooper, , Irene Rich, , Roscoe Ates",Gordon Avil,Hugh Wynn,,,Metro-Goldwyn-Mayer,,87 minutes,United States,,"$356,000, [1]","$1.6 million, [1]",https://en.wikipedia.org/wiki/The_Champ_(1931_film),,English,".mw-parser-output .plainlist ol,.mw-parser-output .plainlist ul{line-height:inherit;list-style:none;margin:0;padding:0}.mw-parser-output .plainlist ol li,.mw-parser-output .plainlist ul li{margin-bottom:0}, 
November 9, 1931 (1931-11-09)
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Mervyn LeRoy,"Byron Morgan, , Robert Lord",,,"Hal B. Wallis,  , (uncredited)","Edward G. Robinson, , Marian Marsh, , Boris Karloff",Sol Polito,Frank Ware,,First National Pictures,Warner Bros. Pictures,,89 minutes,United States,,"$310,000, [1]","$822,000, [1]",https://en.wikipedia.org/wiki/Five_Star_Final,"Five Star Final, , 1930 play, , by , Louis Weitzenkorn",English,".mw-parser-output .plainlist ol,.mw-parser-output .plainlist ul{line-height:inherit;list-style:none;margin:0;padding:0}.mw-parser-output .plainlist ol li,.mw-parser-output .plainlist ul li{margin-bottom:0}, 
September 26, 1931 (1931-09-26)
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,"George Cukor, , Ernst Lubitsch",Samson Raphaelson,,,Ernst Lubitsch,"Maurice Chevalier, , Jeanette MacDonald, , Genevieve Tobin",Victor Milner,William Shea,"W. Franke Harling, , Oscar Straus, , Rudolph G. Kopp, , John Leipold",Paramount Pictures,Paramount Pictures,,80 minutes,United States,,,,https://en.wikipedia.org/wiki/One_Hour_with_You,"Only a Dream, , 1909 play, , by Lothar Schmidt",English,".mw-parser-output .plainlist ol,.mw-parser-output .plainlist ul{line-height:inherit;list-style:none;margin:0;padding:0}.mw-parser-output .plainlist ol li,.mw-parser-output .plainlist ul li{margin-bottom:0}, 
March 22, 1932 (1932-03-22) (US)
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Josef von Sternberg,"Jules Furthman, , Harry Hervey,  (story)",,,Adolph Zukor,"Marlene Dietrich, , Clive Brook, , Anna May Wong, , Warner Oland",Lee Garmes,Frank Sullivan,"W. Franke Harling, , Rudolph G. Kopp",,Paramount Pictures,,80 minutes,United States,,,"$1.5 million (worldwide rentals), [1]",https://en.wikipedia.org/wiki/Shanghai_Express_(film),"""Sky Over China"" , (also known as ""China Pass""), , by , Harry Hervey",English,".mw-parser-output .plainlist ol,.mw-parser-output .plainlist ul{line-height:inherit;list-style:none;margin:0;padding:0}.mw-parser-output .plainlist ol li,.mw-parser-output .plainlist ul li{margin-bottom:0}, 
February 12, 1932 (1932-02-12)
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Ernst Lubitsch,"Screenplay, :, , Samson Raphaelson, , Ernest Vajda, , Uncredited, :, , Ernst Lubitsch, , French dialogue, :, , Jacques Bataille-Henri",,,Ernst Lubitsch,"Maurice Chevalier, , Claudette Colbert, , Miriam Hopkins",George J. Folsey,Merrill G. White,"Composer, :, , Oscar Straus, , Musical Director, :, , Adolph Deutsch,  (uncredited)",,Paramount Pictures,,89 minutes,United States,,,,https://en.wikipedia.org/wiki/The_Smiling_Lieutenant,"Novel, : , Nux der Prinzgemahl,  (1905), , Hans Müller-Einigen, , Operetta, : , Ein Walzertraum,  (1907), , Leopold Jacobson,  [de], , Felix Dörmann,  [de]",English,".mw-parser-output .plainlist ol,.mw-parser-output .plainlist ul{line-height:inherit;list-style:none;margin:0;padding:0}.mw-parser-output .plainlist ol li,.mw-parser-output .plainlist ul li{margin-bottom:0}, 
August 1, 1931 (1931-08-01)
,  (US)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Frank Lloyd,,"Reginald Berkeley, , Sonya Levien,  , (continuity)",,"Frank Lloyd, , Winfield R. Sheehan","Diana Wynyard, , Clive Brook, , Una O'Connor, , Irene Browne, , Herbert Mundin, , Frank Lawton, , Merle Tottenham, , Beryl Mercer",Ernest Palmer,Margaret Clancey,"Peter Brunelli, , Louis De Francesco, , Arthur Lange, , J. S. Zamecnik",,Fox Film Corporation,,112 minutes,United States,,"$1,180,280","$1,004,000 (domestic rentals), [1], , $3.5 million (worldwide rentals), [2]",https://en.wikipedia.org/wiki/Cavalcade_(1933_film),"Cavalcade, , 1931 play, , by , Noël Coward",English,".mw-parser-output .plainlist ol,.mw-parser-output .plainlist ul{line-height:inherit;list-style:none;margin:0;padding:0}.mw-parser-output .plainlist ol li,.mw-parser-output .plainlist ul li{margin-bottom:0}, 
April 15, 1933 (1933-04-15)
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Lloyd Bacon,,".mw-parser-output .plainlist ol,.mw-parser-output .plainlist ul{line-height:inherit;list-style:none;margin:0;padding:0}.mw-parser-output .plainlist ol li,.mw-parser-output .plainlist ul li{margin-bottom:0}, 
Rian James
James Seymour
",,Darryl F. Zanuck,", 
Warner Baxter
Bebe Daniels
George Brent
Una Merkel
Ruby Keeler
Guy Kibbee
Ginger Rogers
Dick Powell
Ned Sparks
George E. Stone
Allen Jenkins
",Sol Polito,", 
Thomas Pratt
Frank Ware
",", 
Harry Warren (music)
Al Dubin (lyrics)
",Warner Bros.,Warner Bros.,", 
March 9, 1933 (1933-03-09) (Strand Theatre)
, [1], , 
March 11, 1933 (1933-03-11) (US)
, [1]",89 minutes,United States,,"$439,000, [2], [3]","$2.3 million, [4], [5], [3]",https://en.wikipedia.org/wiki/42nd_Street_(film),"42nd Street, , by , Bradford Ropes",English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Frank Borzage,,".mw-parser-output .plainlist ol,.mw-parser-output .plainlist ul{line-height:inherit;list-style:none;margin:0;padding:0}.mw-parser-output .plainlist ol li,.mw-parser-output .plainlist ul li{margin-bottom:0}, 
Benjamin Glazer
Oliver H.P. Garrett
",,", 
Edward A. Blatt
Benjamin Glazer
",", 
Helen Hayes
Gary Cooper
Adolphe Menjou
",Charles Lang,", 
Otho Lovering
George Nicholls Jr.
",Milan Roder,Paramount Pictures,"Paramount Pictures (original release) , , Warner Bros. Pictures,  (1949 reissue)",,88 minutes,United States,,"$900,000, [1]","$1 million (U.S. and Canada rentals), [2]",https://en.wikipedia.org/wiki/A_Farewell_to_Arms_(1932_film),"A Farewell to Arms, , 1929 novel, , by , Ernest Hemingway,  and play written by , Laurence Stallings, .",English,", 
December 8, 1932 (1932-12-08) (United States)
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Mervyn LeRoy,,"Howard J. Green, , Brown Holmes",,Hal B. Wallis,"Paul Muni, , Glenda Farrell, , Helen Vinson, , Noel Francis",Sol Polito,William Holmes,Bernhard Kaun,The Vitaphone Corporation,Warner Bros.,,93 minutes,United States,,"$228,000, [2]","$1,599,000, [2]",https://en.wikipedia.org/wiki/I_Am_a_Fugitive_from_a_Chain_Gang,"I Am a Fugitive from a Georgia Chain Gang!, , by , Robert E. Burns",English,".mw-parser-output .plainlist ol,.mw-parser-output .plainlist ul{line-height:inherit;list-style:none;margin:0;padding:0}.mw-parser-output .plainlist ol li,.mw-parser-output .plainlist ul li{margin-bottom:0}, 
November 10, 1932 (1932-11-10)
, [1]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Frank Capra,Robert Riskin,,,Harry Cohn,"May Robson, , Warren William, , Guy Kibbee, , Glenda Farrell",Joseph Walker,Gene Havlick,Howard Jackson,Columbia Pictures,Columbia Pictures,,96 minutes,United States,,"$300,000",,https://en.wikipedia.org/wiki/Lady_for_a_Day,"Madame La Gimp, , 1929 story in , Hearst's International-Cosmopolitan, , by , Damon Runyon",English,".mw-parser-output .plainlist ol,.mw-parser-output .plainlist ul{line-height:inherit;list-style:none;margin:0;padding:0}.mw-parser-output .plainlist ol li,.mw-parser-output .plainlist ul li{margin-bottom:0}, 
September 13, 1933 (1933-09-13)
",Black and white,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,George Cukor,David Hempstead,".mw-parser-output .plainlist ol,.mw-parser-output .plainlist ul{line-height:inherit;list-style:none;margin:0;padding:0}.mw-parser-output .plainlist ol li,.mw-parser-output .plainlist ul li{margin-bottom:0}, Victor HeermanSarah Y. Mason",,Merian C. Cooper,", Katharine HepburnJoan BennettPaul LukasFrances DeeJean ParkerEdna May OliverDouglass MontgomeryHenry Stephenson",Henry W. Gerrard,Jack Kitchin,Max Steiner,RKO Radio Pictures,RKO Radio Pictures,,115 minutes,United States,,"$424,000, [1], [2]","$2,070,000 (worldwide rentals), [1], [2]",https://en.wikipedia.org/wiki/Little_Women_(1933_film),"Little Women, , 1868 novel, , by , Louisa May Alcott",English,", 
November 16, 1933 (1933-11-16) (United States)
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Alexander Korda,"Lajos Bíró, , Arthur Wimperis",,,"Alexander Korda , ,  Ludvico Toeplitz","Charles Laughton, , Binnie Barnes, , Robert Donat",Georges Périnal,Stephen Harrison,Kurt Schröder,London Film Productions,United Artists,,97 minutes,United Kingdom,,"£93,710, [1]","£750,000, [2]",https://en.wikipedia.org/wiki/The_Private_Life_of_Henry_VIII,,English,".mw-parser-output .plainlist ol,.mw-parser-output .plainlist ul{line-height:inherit;list-style:none;margin:0;padding:0}.mw-parser-output .plainlist ol li,.mw-parser-output .plainlist ul li{margin-bottom:0}, 
17 August 1933 (1933-08-17)
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Lowell Sherman,,"Harvey F. Thew, , John Bright",,William LeBaron,".mw-parser-output .plainlist ol,.mw-parser-output .plainlist ul{line-height:inherit;list-style:none;margin:0;padding:0}.mw-parser-output .plainlist ol li,.mw-parser-output .plainlist ul li{margin-bottom:0}, Mae WestCary GrantOwen MooreGilbert RolandNoah Beery Sr.",Charles Lang,Alexander Hall,John Leipold (uncredited),Paramount Pictures,Paramount Pictures,,66 minutes,United States,,"$200,000, [1]","$2.2 million, [2]",https://en.wikipedia.org/wiki/She_Done_Him_Wrong,"Diamond Lil, , 1928 play, , by , Mae West",English,", 
January 27, 1933 (1933-01-27)
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Sidney Franklin,,"Donald Ogden Stewart, , Ernest Vajda",,Albert Lewin,"Norma Shearer, ,  , Fredric March, ,  , Leslie Howard",Lee Garmes,Margaret Booth,"William Axt, , Arthur A. Penn",,Metro-Goldwyn-Mayer,,98 minutes,United States,,"$851,000, [1]","$2,033,000, [1]",https://en.wikipedia.org/wiki/Smilin%27_Through_(1932_film),"Smilin' Through (play), , 1919 play, , by , Jane Cowl, , Jane Murfin",English,".mw-parser-output .plainlist ol,.mw-parser-output .plainlist ul{line-height:inherit;list-style:none;margin:0;padding:0}.mw-parser-output .plainlist ol li,.mw-parser-output .plainlist ul li{margin-bottom:0}, 
September 24, 1932 (1932-09-24)
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Henry King,,"Sonya Levien, , Paul Green",,Henry King,"Janet Gaynor, , Will Rogers, , Lew Ayres",Hal Mohr,Robert Bischoff,Louis De Francesco,,Fox Film Corporation,,97 minutes,,,"$600,000, [1]","$1,208,000 (rentals), [2]",https://en.wikipedia.org/wiki/State_Fair_(1933_film),"State Fair, , by , Phil Stong",,".mw-parser-output .plainlist ol,.mw-parser-output .plainlist ul{line-height:inherit;list-style:none;margin:0;padding:0}.mw-parser-output .plainlist ol li,.mw-parser-output .plainlist ul li{margin-bottom:0}, 
February 10, 1933 (1933-02-10)
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Frank Capra,,Robert Riskin,,".mw-parser-output .plainlist ol,.mw-parser-output .plainlist ul{line-height:inherit;list-style:none;margin:0;padding:0}.mw-parser-output .plainlist ol li,.mw-parser-output .plainlist ul li{margin-bottom:0}, Frank CapraHarry Cohn",", Clark GableClaudette Colbert",Joseph Walker,Gene Havlick,", Howard JacksonLouis Silvers",,Columbia Pictures,,"105 minutes, [1]",United States,,"$325,000, [2]","$2.5 million (worldwide rentals), [3]",https://en.wikipedia.org/wiki/It_Happened_One_Night,"""Night Bus"", , 1933 story in , Cosmopolitan, , by , Samuel Hopkins Adams",English,", 
February 22, 1934 (1934-02-22)
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Sidney Franklin,,"David Ogden Stewart, , Ernest Vajda, , Claudine West",,Irving Thalberg,"Norma Shearer, , Fredric March, , Charles Laughton",William H. Daniels,Margaret Booth,Herbert Stothart,,Metro-Goldwyn-Mayer,,110 minutes,United States,,"$820,000, [1], [2], [3]","$1,258,000 (Domestic earnings), [1], , $1,085,000 (Foreign earnings), [1]",https://en.wikipedia.org/wiki/The_Barretts_of_Wimpole_Street_(1934_film),"The Barretts of Wimpole Street, , 1930 play, , by , Rudolf Besier",English,"September 14, 1934,  (1934)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Cecil B. DeMille,"Waldemar Young,  , , Vincent Lawrence , , Bartlett Cormack,  (adaptation: historical material)",,,Cecil B. DeMille,"Claudette Colbert,  , , Warren William,  , , Henry Wilcoxon",Victor Milner,"Anne Bauchens,  (uncredited)","Rudolph G. Kopp,  , , Milan Roder (uncredited)",,Paramount Pictures,".mw-parser-output .plainlist ol,.mw-parser-output .plainlist ul{line-height:inherit;list-style:none;margin:0;padding:0}.mw-parser-output .plainlist ol li,.mw-parser-output .plainlist ul li{margin-bottom:0}, 
August 16, 1934 (1934-08-16) (New York City, premiere[1])
October 5, 1934 (1934-10-05) (US)
",100 minutes,United States,,"$842,908, [2]","$1,929,161, [2]",https://en.wikipedia.org/wiki/Cleopatra_(1934_film),,English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Frank Borzage,,Delmer Daves,"Delmer Daves, , Lou Edelman",Robert Lord,"Dick Powell, , Ruby Keeler, , Pat O'Brien","Sol Polito, , George Barnes",William Holmes,"Allie Wrubel, , Mort Dixon",Warner Bros.,Warner Bros.,,"85, 95, 97, or 100 minutes, [1]",United States,,"$479,000, [2]","$1,533,000, [2]",https://en.wikipedia.org/wiki/Flirtation_Walk,,English,".mw-parser-output .plainlist ol,.mw-parser-output .plainlist ul{line-height:inherit;list-style:none;margin:0;padding:0}.mw-parser-output .plainlist ol li,.mw-parser-output .plainlist ul li{margin-bottom:0}, 
December 1, 1934 (1934-12-01)
, [1]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Mark Sandrich,,"George Marion Jr., , Dorothy Yost, , Edward Kaufman",,Pandro S. Berman,"Fred Astaire, , Ginger Rogers",David Abel,William Hamilton,"Score:, , Max Steiner, , Songs:, , (see , below, )",RKO Radio Pictures,RKO Radio Pictures,,107 minutes,United States,,"$520,000, [1]","$1.8 million, [1]",https://en.wikipedia.org/wiki/The_Gay_Divorcee,"Gay Divorce, , 1932 musical, , by , Dwight Taylor",English,".mw-parser-output .plainlist ol,.mw-parser-output .plainlist ul{line-height:inherit;list-style:none;margin:0;padding:0}.mw-parser-output .plainlist ol li,.mw-parser-output .plainlist ul li{margin-bottom:0}, 
October 12, 1934 (1934-10-12)
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Lloyd Bacon,"Earl Baldwin, , Ben Markson",,,Louis Edelman,"James Cagney, , Pat O'Brien, , Gloria Stuart",Arthur Edeson,George Amy,Charles A. Zimmerman,Warner Bros. Pictures,"Warner Bros. Pictures, , The Vitaphone Corp.",,87 minutes,United States,,"$263,000, [1]","$1,758,000, [1]",https://en.wikipedia.org/wiki/Here_Comes_the_Navy,,English,".mw-parser-output .plainlist ol,.mw-parser-output .plainlist ul{line-height:inherit;list-style:none;margin:0;padding:0}.mw-parser-output .plainlist ol li,.mw-parser-output .plainlist ul li{margin-bottom:0}, 
July 21, 1934 (1934-07-21)
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,"Alfred L. Werker, , Maude T. Howell,  (asst.)","George Hembert Westley (playwright), , Nunnally Johnson,  (screenwriter)",,,"William Goetz, , Raymond Griffith, , Darryl F. Zanuck","George Arliss, , Loretta Young, , Boris Karloff",J. Peverell Marley,"Barbara McLean, , Allen McNeil",Alfred Newman,Twentieth Century Pictures,United Artists,,88 minutes,United States,,,"$1 million (U.S. and Canada rentals), [1]",https://en.wikipedia.org/wiki/The_House_of_Rothschild,,English,".mw-parser-output .plainlist ol,.mw-parser-output .plainlist ul{line-height:inherit;list-style:none;margin:0;padding:0}.mw-parser-output .plainlist ol li,.mw-parser-output .plainlist ul li{margin-bottom:0}, 
April 7, 1934 (1934-04-07)
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
