,Year,Actor,Role(s),Film,Ref.,FilmLink,Won,Record,Age (in years)
210,1978 (51st),Christopher Walken ‡,"Nikonar ""Nick"" Chevotarevich",The Deer Hunter,[52],/wiki/The_Deer_Hunter,True,,
211,1978 (51st),Bruce Dern,Captain Bob Hyde,Coming Home,[52],/wiki/Coming_Home_(1978_film),False,,
212,1978 (51st),Richard Farnsworth,Dodger,Comes a Horseman,[52],/wiki/Comes_a_Horseman,False,,
213,1978 (51st),John Hurt,Max,Midnight Express,[52],/wiki/Midnight_Express_(film),False,,
214,1978 (51st),Jack Warden,Max Corkle,Heaven Can Wait,[52],/wiki/Heaven_Can_Wait_(1978_film),False,,
215,1979 (52nd),Melvyn Douglas ‡,Benjamin Rand,Being There,[53],/wiki/Being_There,True,,
216,1979 (52nd),Robert Duvall,Lt. Col. Bill Kilgore,Apocalypse Now,[53],/wiki/Apocalypse_Now,False,,
217,1979 (52nd),Frederic Forrest,Houston Dyer,The Rose,[53],/wiki/The_Rose_(film),False,,
218,1979 (52nd),Justin Henry,Billy Kramer,Kramer vs. Kramer,[53],/wiki/Kramer_vs._Kramer,False,,
219,1979 (52nd),Mickey Rooney,Henry Dailey,The Black Stallion,[53],/wiki/The_Black_Stallion_(film),False,,
220,1980 (53rd),Timothy Hutton ‡,Conrad Jarrett,Ordinary People,[54],/wiki/Ordinary_People,True,,
221,1980 (53rd),Judd Hirsch,Dr. Tyrone C. Berger,Ordinary People,[54],/wiki/Ordinary_People,True,,
222,1980 (53rd),Michael O'Keefe,Ben Meechum,The Great Santini,[54],/wiki/The_Great_Santini,False,,
223,1980 (53rd),Joe Pesci,Joey LaMotta,Raging Bull,[54],/wiki/Raging_Bull,False,,
