,Year,Film,Nominees,FilmLink,Won
113,1963 (36th),The Spirit of America,Algernon G. Walker,/wiki/The_Spirit_of_America,False
114,1963 (36th),Thirty Million Letters,Edgar Anstey,/wiki/Thirty_Million_Letters,False
115,1963 (36th),To Live Again,Mel London,/wiki/To_Live_Again_(film),False
116,1964 (37th),,,,False
117,1964 (37th),Nine from Little Rock,Charles Guggenheim,/wiki/Nine_from_Little_Rock,True
118,1964 (37th),140 Days Under the World,Geoffrey Scott and Oxley Hughan,/wiki/140_Days_Under_the_World,False
119,1964 (37th),Breaking the Habit,Henry Jacobs and John Korty,/wiki/Breaking_the_Habit_(film),False
120,1964 (37th),Children Without,Charles Guggenheim,/wiki/Children_Without,False
121,1964 (37th),Kenojuak,National Film Board of Canada,/wiki/Eskimo_Artist:_Kenojuak,False
122,1965 (38th),,,,False
123,1965 (38th),To Be Alive!,Francis Thompson,/wiki/To_Be_Alive!,True
124,1965 (38th),Mural on Our Street,Kirk Smallman,/wiki/Mural_on_Our_Street,False
125,1965 (38th),Overture,Mafilm Productions,/wiki/Overture_(1965_film),False
126,1965 (38th),Point of View,Vision Associates Productions,/wiki/Point_of_View_(film),False
127,1965 (38th),Yeats Country,Patrick Carey and Joe Mendoza,/wiki/Yeats_Country,False
128,1966 (39th),,,,False
129,1966 (39th),A Year Toward Tomorrow,Edmond A. Levy,/wiki/A_Year_Toward_Tomorrow,True
130,1966 (39th),Adolescence,Marin Karmitz and Vladimir Forgency,/wiki/Adolescence_(film),False
131,1966 (39th),Cowboy,Michael Ahnemann and Gary Schlosser,/wiki/Cowboy_(1966_film),False
132,1966 (39th),The Odds Against,Lee R. Bobker and Helen Kristt Radin,/wiki/The_Odds_Against,False
133,1966 (39th),Saint Matthew Passion,Mafilm Studio,/wiki/Saint_Matthew_Passion_(film),False
134,1967 (40th),,,,False
135,1967 (40th),The Redwoods,Mark Jonathan Harris and Trevor Greenwood,/wiki/The_Redwoods,True
136,1967 (40th),Monument to the Dream,Charles Guggenheim,/wiki/Monument_to_the_Dream,False
137,1967 (40th),A Place to Stand,Christopher Chapman,/wiki/A_Place_to_Stand_(film),False
138,1967 (40th),See You at the Pillar,Robert Fitchett,/wiki/See_You_at_the_Pillar,False
139,1967 (40th),While I Run This Race,Carl V. Ragsdale,/wiki/While_I_Run_This_Race,False
140,1968 (41st),,,,False
141,1968 (41st),Why Man Creates,Saul Bass,/wiki/Why_Man_Creates,True
